@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" annoying enjoyed ", N
" dreadful ", N
" boring ", N
" amazing awful bad supposed well ", N
" boring why worst ", N
" bad favorite ", N
" plot waste wasted well why worse worst ", N
" bad dreadful minutes worst ", N
" avoid love script waste ", N
" great laughable plot well worse ", N
" amazing beautiful boring decent wooden ", N
" bad love minutes stupid unfunny why ", N
" bad great horrible nothing pathetic poor stupid well why worse ", N
" annoying love nothing why ", N
" stupid ", N
" bad ridiculous stupid worst ", N
" avoid cheap ", N
" awful none well worst ", N
" great love stupid ", N
" poor ", N
" nothing plot terrible ", N
" lame stupid ", N
" waste why ", N
" bad great trash well ", N
" avoid bad cheap couldnt horrible minutes pathetic poor stupid terrible worse ", N
" bad minutes terrible waste ", N
" minutes plot ridiculous worst ", N
" plot why ", N
" cheap painful terrible ", N
" awful bad great love ", N
" couldnt poor trash why worst ", N
" bad terrible wasted ", N
" great wonderful ", N
" avoid bad boring couldnt different horrible ", N
" horrible stupid well ", N
" awful bad horrible love none ridiculous terrible today ", N
"  ", N
" boring great today well why worst ", N
" boring couldnt excellent minutes plot redeeming script ", N
" bad poor script ", N
" sorry terrible ", N
" bad great strong well ", N
" enjoyed great loved minutes nothing redeeming terrible why wooden ", N
" bad supposed well ", N
" bad bother minutes today ", N
" beautiful love why ", N
" boring ridiculous ", N
" couldnt plot waste ", N
" waste ", N
" beautiful nothing ", N
" bad horrible minutes worse worst ", N
" annoying bad nothing terrible worst ", N
" great nothing ", N
" avoid minutes waste ", N
" bad horrible ridiculous well worst ", N
" love nothing rubbish ", N
" crap ", N
" annoying awful bad decent poor script wasted ", N
" couldnt minutes nothing plot waste wasted why ", N
" none nothing stupid waste well ", N
" bad beautiful poor ridiculous worst ", N
" minutes none wasted ", N
" different poor supposed ", N
" bad terrible well why ", N
" bad minutes pathetic plot poor poorly script sorry terrible well ", N
" avoid bad different horrible plot worse ", N
" annoying love well ", N
" waste worst ", N
" bad minutes plot worst ", N
" love supposed well ", N
" bad crap love plot supposed worst ", N
" bad cheap different great poor stupid ", N
" pathetic wasted ", N
" bad nothing well ", N
" nothing ", N
" nothing script ", N
" poorly ", N
" awful bad couldnt script terrible wasted why ", N
" amateurish avoid bad minutes poor terrible why ", N
" bad love script sorry supposed ", N
"  ", N
" bad plot terrible worst ", N
" bad beautiful nothing ", N
" bother well ", N
" boring fails well ", N
" nothing ", N
" bad minutes plot predictable ", N
" horrible stupid why ", N
"  ", N
" bad stupid worse ", N
" embarrassed stupid ", N
" bad great supposed ", N
" minutes script waste ", N
" bad supposed ", N
" crap ", N
" worst ", N
" bad why worse ", N
" bad none well worst ", N
" cheap crap ridiculous well ", N
" minutes ", N
" amateurish brilliantly nothing poor supposed well ", N
" turkey ", N
" bad decent great painful plot poor poorly stupid well ", N
" plot ", N
" well ", N
" bad different great nothing plot waste ", N
" bother love minutes supposed worst ", N
"  ", N
" amateurish love ", N
" horrible lame terrible ", N
" annoying bad bother nothing rubbish ", N
" bad worse ", N
" annoying nothing well ", N
" bad bother love nothing supposed ", N
" avoid nothing waste why ", N
" bad bother nothing why ", N
" bad beautiful great love ", N
" bad favorite love loved ", N
" bad great predictable ", N
" couldnt lame laughable love waste ", N
" today ", N
" bad great none poor well worst ", N
" great ", N
" bad couldnt horrible laughable plot well ", N
" bad love ridiculous strong ", N
" enjoyed love ridiculous ", N
" couldnt redeeming worst ", N
" terrific ", N
" bad couldnt laughable script well worse worst ", N
" great perfectly plot pointless terrible waste well ", N
" bad redeeming why worst ", N
" bad decent favorite minutes terrible turkey well worse worst ", N
" great love poor skip turkey unfunny well ", N
" awful bad rubbish worse ", N
" annoying lame why worse ", N
" stupid trash wasted ", N
" bad cheap wooden ", N
" bad cheap couldnt poorly why ", N
" beautiful great stupid wonderful ", N
" unfunny ", N
" poor ", N
" plot supposed trash worse ", N
" bad plot well why ", N
" boring great lame nothing painful plot poor ridiculous sorry why worse ", N
" great love today why wonderful ", N
" boring poor waste ", N
"  ", N
" plot wonderful wooden worst ", N
" bad cheap fails minutes poor terrible well ", N
" mildly plot pointless why ", N
" loved ", N
" awful bad none plot why ", N
" annoying bad different plot worse ", N
"  ", N
" horrible plot ", N
" couldnt loved nothing why ", N
" avoid crap different laughable pathetic why ", N
" bad finest well ", N
" nothing plot poor worse worst ", N
" annoying ", N
" annoying plot ", N
" fails worst ", N
" bad excellent love wonderful ", N
" annoying plot poor sorry terrible well ", N
" different ", N
" awful bad enjoyed supposed ", N
" great love minutes ", N
" plot poor poorly script sorry stupid wasted worst ", N
" decent great poor well wonderful ", N
" beautifully love minutes nothing perfectly plot poor wasted well ", N
" boring ", N
" amateurish trash ", N
" amateurish awful beautiful disaster love none nothing poor well why ", N
" bad crap great love plot well ", N
"  ", N
" poor trash ", N
" cheap crap great pathetic plot worse ", N
" why ", N
" bother plot script ", N
" great lame redeeming ", N
" well why ", N
" plot why ", N
" bad different favorite mildly minutes well ", N
" bad great horrible minutes none poor predictable stupid well ", N
" bad great minutes nothing ridiculous terrible why ", N
" avoid bad decent none well why worse ", N
" atrocious bad ridiculous script ", N
" bad excellent fails plot script supposed well ", N
" loved none why worse ", N
" sorry ", N
" awful minutes plot ridiculous stupid waste wasted why worst ", N
" nothing redeeming stupid well ", N
" awful plot poorly predictable redeeming trash waste worst ", N
" annoying atrocious bad couldnt horrible none terrible worst ", N
" script why ", N
" worst ", N
" why ", N
" bad decent plot ", N
" annoying bad love plot ", N
" boring great lame loved pointless ridiculous ", N
" great ", N
" bad great nothing painful poor ridiculous stupid why ", N
" annoying bad great love loved minutes well ", N
" atrocious bad bother minutes plot terrible ", N
" bad cheap minutes ", N
" annoying awful sorry well ", N
" awful bad minutes poor script worse ", N
" enjoyed great minutes waste well ", N
" predictable ", N
" love plot terrible ", N
" plot worst ", N
" love well ", N
" well worst ", N
" amateurish bad ", N
" awful bad redeeming wooden ", N
" boring crap stupid ", N
" awful bad horrible nothing poor terrible waste well ", N
" awful couldnt lame laughable script ", N
" bad minutes painful sorry why ", N
" avoid bad laughable none poorly stupid supposed terrible ", N
"  ", N
" bad boring minutes plot poor well why worse ", N
" bad ", N
" bad favorite love ", N
" awful bad minutes wasted ", N
" bad worse ", N
" bad boring horrible ridiculous sorry worst ", N
" annoying well ", N
" bother couldnt favorite horrible script stupid terrible well why ", N
" bad disaster horrible laughable poor poorly well why ", N
" bad cheap plot ", N
" bad minutes none why worst ", N
" cheap horrible minutes poorly redeeming stupid well worst ", N
" horrible well ", N
" awful couldnt none why ", N
" bad crap ", N
" beautiful minutes plot well ", N
" predictable superb ", N
" great horrible love ", N
" fantastic well ", N
" unfunny ", N
" different plot poorly waste well worst ", N
" crap different favorite great well why worse worst ", N
" cheap ", N
" great ridiculous stupid ", N
" cheap decent fails pathetic ", N
" redeeming stupid waste worst ", N
" pathetic terrible ", N
" annoying different lame love well ", N
" boring crap dreadful nothing stupid ", N
" avoid fantastic stupid why ", N
" bad nothing ridiculous stupid supposed ", N
" bad crap different script turkey waste ", N
" bad great minutes script supposed waste why wooden ", N
" bad different nothing ", N
"  ", N
" excellent plot terrible ", N
" annoying awful great pathetic stupid today well why worst ", N
" bad well ", N
" bad nothing plot poor script why worst ", N
" amateurish bad embarrassed great nothing well why ", N
" bad waste ", N
" nothing plot worst ", N
" plot script waste ", N
" bad great ", N
" supposed ", N
" bad cheap crap none waste worst ", N
" bad nothing ", N
" different painful plot ", N
" annoying bad excellent great lame love ridiculous supposed terrific well ", N
" different fantastic minutes ", N
" bad beautiful couldnt poor ", N
" worse ", N
" annoying supposed well why ", N
" annoying cheap excellent great love nothing supposed today ", N
" decent different none wasted ", N
"  ", N
" bad minutes ", N
" bad nothing plot ", N
" none ", N
" bother nothing plot pointless supposed why ", N
"  ", N
" amateurish annoying avoid cheap nothing plot ", N
" great minutes plot waste ", N
" bad laughable none nothing painful plot script terrible terrific ", N
" plot skip wasted ", N
" awful bad perfectly terrible ", N
" bad decent supposed ", N
" crap minutes script ", N
" amateurish awful bad boring cheap crap decent different minutes nothing plot poor poorly supposed terrible turkey why ", N
" couldnt minutes ", N
" bad great nothing ", N
" bad boring none terrible worse ", N
" bad great plot ", N
" love waste why ", N
" avoid great horrible love loved minutes plot ", N
" cheap couldnt great horrible nothing plot poor well worse worst ", N
" predictable ", N
" boring excellent pathetic plot well worst ", N
" couldnt terrific well ", N
" strong ", N
" amazing annoying nothing ridiculous ", N
" great nothing ", N
" cheap pathetic well ", N
" plot ", N
" bad mildly stupid supposed ", N
" annoying couldnt great loved nothing ", N
" bad cheap different ", N
" amateurish minutes ", N
" bad great plot why ", N
"  ", N
" nothing script skip why ", N
" avoid stupid well ", N
" bad waste well worse ", N
" bother plot turkey well why ", N
" boring well ", N
" love minutes plot stupid supposed well why ", N
" great nothing ", N
" bad decent pathetic plot terrible why worse ", N
" bad poor ", N
" minutes nothing trash ", N
" none nothing why ", N
" rubbish wasted ", N
" fails nothing waste well worse ", N
" boring cheap decent enjoyed great none script sorry supposed wasted why ", N
" horrible minutes nothing plot ", N
" excellent love skip waste ", N
" bad minutes nothing well ", N
" decent nothing ", N
" nothing skip ", N
" awful bother fantastic finest great minutes none plot worst ", N
" bad different great horrible love loved poor well wonderful ", N
" couldnt ", N
" fails pointless redeeming worst ", N
" worse ", N
" nothing pathetic terrible ", N
" why ", N
" great well worst ", N
" cheap plot waste ", N
" great nothing remotely skip supposed ", N
" bad script worst ", N
" poor well ", N
" annoying forgettable plot poor script sorry wooden ", N
" minutes plot script wooden ", N
" avoid bad decent horrible pointless ", N
" waste ", N
" bad great well why ", N
" minutes ", N
" strong ", N
" cheap fails nothing ", N
" bad poorly script worse worst ", N
"  ", N
" excellent great plot well ", N
"  ", N
" bad boring horrible love nothing supposed worse worst ", N
" avoid awful bad crap plot ridiculous ", N
" great nothing ", N
" bad decent horrible ", N
" awful bad boring different minutes nothing script worse worst ", N
" avoid plot ", N
" decent nothing supposed well ", N
" bad ", N
" script worst ", N
" bad love why ", N
" decent enjoyed great love sorry terrible ", N
" bad favorite minutes ", N
" awful ", N
" couldnt crap horrible worse ", N
" crap painful plot terrible worst ", N
" amateurish fantastic great script wasted worst ", N
" bad ", N
" bad lame script why ", N
" great laughable nothing supposed terrible ", N
" awful plot script stupid terrible trash waste well worst ", N
" bad none plot poorly strong terrible well why ", N
" bad script ", N
" bad bother crap script terrible well ", N
" horrible redeeming script ", N
" cheap minutes poorly worse ", N
" awful bad decent great minutes skip stupid well worst ", N
" laughable why worst ", N
" fails horrible nothing well worst ", N
" boring predictable worst ", N
" atrocious awful bad boring crap decent disaster forgettable horrible nothing plot pointless script strong supposed terrible well why worst ", N
" amateurish great mstk plot why ", N
" lame ridiculous why worse ", N
" bad supposed ", N
" couldnt love sorry ", N
" favorite poorly strong well ", N
" amateurish love ", N
" boring favorite ", N
" amateurish fails favorite perfectly why ", N
" nothing script ", N
" different ", N
" boring lame minutes supposed ", N
" bad minutes ", N
" bad boring minutes well why worst ", N
" bad ", N
" atrocious bad boring enjoyed nothing plot terrible worse ", N
" cheap couldnt none remotely rubbish ", N
" awful bad ", N
" well ", N
" bad dreadful great terrible worse ", N
" atrocious bad ridiculous stupid terrible unfunny well worse worst ", N
" bad great outstanding ", N
" bad skip stupid ", N
" favorite plot poor well ", N
" bad boring love nothing plot stupid well ", N
" well why worst ", N
" bad cheap plot ", N
" bad favorite why ", N
" bad cheap plot ridiculous worst ", N
" laughable minutes terrible worse worst ", N
" minutes poorly terrible ", N
" awful terrible wooden ", N
" bad beautiful couldnt horrible nothing sorry why ", N
" horrible minutes nothing stupid why ", N
" crap minutes plot poorly script well wooden worse worst ", N
" bad couldnt love plot why worst ", N
" painful stupid ", N
" bad decent horrible why ", N
" awful bad horrible minutes ridiculous stupid terrible why ", N
" bad great horrible script waste well why worst ", N
" cheap plot poor script stupid ", N
" crap horrible minutes ", N
" avoid bad worse worst ", N
" bad boring different terrible worse ", N
" awful supposed wasted well ", N
" bad couldnt horrible laughable stupid worst ", N
" amazing horrible loved plot why ", N
" bad lame laughable terrible well worse worst ", N
" bad plot supposed ", N
" bad minutes mstk nothing well ", N
" horrible nothing remotely script ", N
" none worse ", N
" bad couldnt great terrible ", N
" amateurish awful bad beautiful different great lame laughable nothing plot ridiculous script terrible waste worst ", N
" awful none well ", N
" avoid stupid supposed ", N
"  ", N
" poorly script ", N
" boring couldnt predictable ", N
" bad minutes ", N
" awful horrible plot stupid terrible worst ", N
" beautiful couldnt great ", N
" boring couldnt ", N
" disaster ", N
" crap fantastic nothing poor ridiculous worse worst ", N
"  ", N
" amateurish great perfectly ", N
" turkey ", N
" awful bad nothing plot worst ", N
" great none plot script ", N
" bad nothing ", N
" bad boring horrible minutes painful redeeming worse ", N
" bad love skip ", N
"  ", N
" annoying bad different nothing ridiculous well wooden ", N
" avoid bad boring none nothing plot predictable worse ", N
" bad boring well why ", N
" annoying enjoyed great nothing plot ridiculous stupid wasted ", N
" bad plot redeeming sorry stupid ", N
" bad different enjoyed great nothing plot stupid well why ", N
" bad excellent forgettable great plot ridiculous well ", N
" crap enjoyed ", N
" different plot ", N
" lame nothing worst ", N
" bad plot wonderful ", N
" different horrible minutes well why worst ", N
" bad couldnt horrible love script waste well ", N
" awful bad cheap crap fails mildly minutes none nothing script stupid terrible unfunny well ", N
" bad boring crap nothing pathetic plot unfunny ", N
" disaster minutes plot ", N
" supposed today waste well ", N
" stupid today ", N
" awful ", N
" annoying bad horrible minutes ", N
" bad decent great horrible plot supposed ", N
" awful bad great mildly script waste ", N
" bad decent nothing poor predictable supposed well worst ", N
" annoying awful bad great pointless predictable script strong waste well why ", N
" fails great love redeeming ridiculous script why ", N
" bad fantastic favorite great horrible stupid worse worst ", N
" couldnt painful ", N
" dreadful favorite well worst ", N
" excellent ", N
" stupid ", N
" amazing bad poorly terrible ", N
" annoying avoid awful bad boring embarrassed nothing poor script sorry terrible waste well why worse ", N
" amateurish awful enjoyed plot predictable ", N
" terrible well ", N
" minutes ", N
" amateurish awful bad horrible terrible ", N
" different sorry ", N
" avoid love script waste ", N
" minutes plot redeeming well ", N
" awful ", N
" bad great love why ", N
" bad well ", N
" ridiculous terrible waste worst ", N
" awful minutes waste ", N
" boring fantastic love painful ridiculous terrible waste worst ", N
" bad couldnt painful script skip ", N
" avoid bad decent disaster forgettable great minutes sorry strong worst ", N
"  ", N
" great stupid ", N
" cheap great pathetic plot predictable script worse ", N
" awful decent fails love minutes plot skip ", N
" bad cheap painful poor remotely worse worst ", N
" minutes nothing stupid wooden worse ", N
" awful bad plot unfunny well ", N
" bad plot sorry stupid ", N
" awful love trash well ", N
"  ", N
" decent fails poor why ", N
" cheap lame poor script sorry terrible well ", N
" annoying boring well ", N
" bad minutes none plot why ", N
" minutes nothing plot pointless ", N
" bad dreadful plot poor script ", N
" awful worst ", N
" fantastic wonderful ", N
"  ", N
" bad cheap horrible nothing plot redeeming remotely ", N
"  ", N
" bad minutes plot predictable terrible well ", N
" horrible wasted well ", N
" fantastic poor ", N
" bad great script ", N
" nothing plot poorly script wasted well ", N
" horrible predictable ", N
" couldnt love stupid ", N
" bad boring decent turkey well ", N
" annoying horrible plot ridiculous sorry ", N
" bad cheap waste well why ", N
" boring crap decent nothing plot worst ", N
" bad horrible worst ", N
" beautiful plot waste why ", N
" bad couldnt well why ", N
" plot why ", N
" forgettable none pathetic supposed ", N
" minutes nothing ", N
" bad lame minutes none script ", N
" awful love plot ", N
" cheap lame nothing ", N
" plot terrible worst ", N
" bad love ", N
" avoid decent different lame minutes poor redeeming trash waste ", N
" bad fails plot supposed well why ", N
" bad minutes painful poor worse worst ", N
" horrible script ", N
" cheap lame minutes script well ", N
" bad boring love plot predictable worst ", N
" bad couldnt decent nothing plot wasted ", N
" avoid beautiful lame well worse ", N
" bad decent loved ", N
" bad well ", N
" beautiful nothing pointless sorry ", N
" minutes ", N
" awful bad decent laughable plot ridiculous well ", N
" terrific ", N
" bad great nothing poor why ", N
" poor ", N
" awful great love plot ", N
" awful bad beautiful painful poorly script ", N
" bad great minutes nothing supposed worse ", N
" horrible terrible today well ", N
" boring love ", N
" bad nothing ", N
" bad boring great nothing why ", N
" nothing worst ", N
" minutes plot ridiculous strong terrible turkey why worst ", N
" beautiful brilliantly different disaster embarrassed excellent fantastic favorite ridiculous skip strong stupid supposed terrific ", N
" avoid none terrible ", N
" well ", N
" stupid ", N
" bad decent different fails none stupid supposed why ", N
" fails plot poorly script ", N
" amateurish decent poor why wooden ", N
"  ", N
" brilliantly cheap mildly minutes poor ridiculous skip sorry ", N
" bad crap disaster great love nothing plot stupid terrible wasted why worst ", N
" amateurish avoid bad different nothing ", N
" bad boring script ", N
" annoying poor stupid supposed ", N
" bad love ridiculous script supposed ", N
" minutes why ", N
" annoying cheap plot ridiculous skip terrible ", N
" great none worst ", N
" great love poor ", N
" lame plot poorly ", N
" awful bad plot redeeming script why ", N
" beautiful minutes nothing predictable strong why ", N
" avoid bad love ridiculous turkey ", N
" decent fails love minutes nothing pathetic script stupid wasted well ", N
" amazing bad boring love superb well worst ", N
" amazing awful bad excellent great worse ", N
" well ", N
" awful cheap poor sorry ", N
" beautiful love minutes well ", N
" bad rubbish waste ", N
" atrocious beautiful great love nothing poor stupid wasted well why ", N
" avoid couldnt love nothing ", N
" predictable well ", N
" avoid excellent fails ", N
" avoid love nothing ", N
" awful crap plot waste why ", N
" bad fails loved painful well ", N
" great ", N
" bad ridiculous terrible well ", N
" script ", N
" bad ", N
" lame ", N
" terrific ", N
" annoying bad fails pathetic plot pointless stupid ", N
" bad couldnt stupid touched wasted ", N
" bad bother crap decent horrible plot skip worse ", N
" annoying poorly ", N
" bad cheap plot well ", N
" well ", N
"  ", N
" love nothing terrible ", N
" bad boring bother ", N
" awful great poor ", N
" bad script ", N
" annoying stupid worse ", N
" great nothing pathetic script well why wonderful ", N
" annoying bad boring nothing plot script stupid terrible worst ", N
" bad nothing sorry strong why ", N
" pointless why ", N
" awful bad different love none nothing strong stupid well ", N
" bad terrible ", N
" bad love plot trash worst ", N
" bad ", N
" cheap crap great nothing plot supposed worst ", N
" bad plot ridiculous well ", N
" minutes ", N
" different nothing strong well ", N
" bad boring different great minutes script strong well ", N
" amazing annoying avoid awful bad beautiful couldnt great script terrible worst ", N
" avoid bad plot redeeming ", N
" bad redeeming ", N
" plot ", N
" couldnt plot terrible ", N
" laughable plot trash worst ", N
" bad great plot ", N
" bad love minutes plot poor worse ", N
" awful bad pointless stupid ", N
" annoying love plot ", N
" couldnt dreadful fails fantastic great minutes ridiculous ", N
"  ", N
" cheap ", N
" avoid bad why worst ", N
" bother fails minutes none outstanding plot ridiculous supposed worst ", N
" plot script supposed ", N
" unfunny well ", N
" decent different lame ridiculous stupid waste ", N
" strong ", N
" annoying minutes pathetic waste ", N
" boring different favorite poorly unfunny ", N
" predictable terrible why ", N
" crap laughable ", N
" minutes plot strong well ", N
" fails great minutes ", N
" different great poorly ", N
" pointless terrible why ", N
" nothing well ", N
" bad beautifully nothing remotely unfunny waste well worse ", N
" great minutes nothing strong stupid ", N
" bother plot script why ", N
" annoying decent minutes script well worse ", N
" boring different fails painful ridiculous script ", N
"  ", N
" well ", N
" bad cheap predictable well ", N
"  ", N
" none nothing painful poorly stupid ", N
"  ", N
" annoying bad loved nothing stupid ", N
"  ", N
" why ", N
" plot ridiculous ", N
" bad couldnt none predictable ", N
" boring couldnt plot worst ", N
" cheap fails predictable worst ", N
" couldnt poorly ridiculous skip why worst ", N
" enjoyed supposed ", N
" avoid bad enjoyed why ", N
" fails supposed unfunny why worse ", N
" bad excellent poor script skip why worse worst ", N
" crap different enjoyed great nothing plot ridiculous ", N
" bad ", N
" favorite lame predictable ", N
" cheap minutes none nothing perfectly plot supposed well ", N
" crap love loved ", N
" predictable script ", N
" boring great ", N
"  ", N
" awful beautifully dreadful why worst ", N
" beautiful why ", N
" atrocious pointless ", N
" minutes well why ", N
" awful beautifully minutes none nothing why ", N
" laughable poorly script well ", N
" beautiful excellent unfunny well ", N
" atrocious cheap script ", N
" bad enjoyed perfectly ridiculous wooden ", N
" bother nothing plot terrific why ", N
" dreadful minutes supposed turkey ", N
" beautifully laughable pathetic ", N
" atrocious poor redeeming script waste ", N
"  ", N
" decent excellent script ", N
"  ", N
" different dreadful enjoyed love minutes nothing well ", N
" bad stupid waste why ", N
" nothing poor why ", N
" great horrible love plot stupid ", N
" bad beautiful supposed ", N
" bad ", N
" excellent minutes terrible well ", N
" great well ", N
" supposed well ", N
" boring laughable nothing pointless poorly ", N
" boring fails great nothing poor rubbish well worst ", N
" boring minutes ", N
" bad love minutes painful predictable ", N
" bad lame nothing script terrible why ", N
" bad plot supposed ", N
" favorite well ", N
" excellent strong ", N
" beautiful brilliantly fails great none perfectly today why ", N
" plot sorry ", N
" bad couldnt different excellent lame minutes wasted ", N
"  ", N
" amateurish great well ", N
" plot why ", N
" bad beautiful great plot sorry ", N
" awful beautiful minutes plot wasted well ", N
" bad poor predictable strong stupid why ", N
" bad horrible plot turkey ", N
" bad ", N
" love ", N
" bad couldnt enjoyed excellent mstk script today well ", N
" mstk trash ", N
" bad well ", N
" awful bad fails great nothing pointless poor script terrible well ", N
" awful bad different mstk pointless terrible ", N
" avoid awful bad bother couldnt minutes predictable sorry ", N
" enjoyed nothing plot stupid well ", N
" bad ", N
" bad favorite horrible love mstk ", N
" bad excellent love ", N
" plot ", N
" boring decent pointless well why ", N
" bad boring love mstk ", N
" plot stupid well ", N
" bad mstk why ", N
" decent mstk script ", N
" amateurish bad cheap decent mstk nothing plot script well ", N
" awful beautiful finest none plot script ", N
" bad favorite love mstk plot well why ", N
" bad couldnt well why worst ", N
" plot sorry worst ", N
" bad great plot well ", N
" awful bad plot terrible worst ", N
" amazing bad boring bother decent nothing plot stupid well worst ", N
" mildly none poor worst ", N
" boring forgettable plot wonderful ", N
" avoid bad boring laughable minutes ", N
" awful laughable well ", N
" bad nothing ridiculous ", N
" bad different love plot supposed well why ", N
" bad boring couldnt lame love none nothing script supposed terrible waste well why ", N
" annoying awful bother fails horrible laughable minutes predictable script sorry terrible why ", N
" bother ", N
" different fantastic script ", N
" boring waste wooden ", N
" bad beautiful lame why wooden ", N
"  ", N
" bad plot ", N
" couldnt poor terrible today waste well why worse ", N
" bad couldnt finest minutes nothing predictable well why ", N
" awful bad disaster plot predictable script worse ", N
" disaster ", N
" stupid ", N
" awful waste ", N
" awful bad predictable script ", N
" awful disaster dreadful poor terrible trash ", N
" awful bad disaster great script supposed ", N
" couldnt nothing pathetic plot worst ", N
" minutes well worst ", N
" nothing ", N
" poor rubbish ", N
" boring couldnt decent nothing poor why ", N
" bad worst ", N
" bad boring script supposed worse ", N
" amateurish stupid supposed ", N
" decent poor sorry strong terrible waste worst ", N
" bother couldnt horrible lame plot waste why worse ", N
" nothing redeeming turkey wooden ", N
" annoying awful bad crap love plot script supposed turkey well why ", N
" lame nothing pathetic poorly ", N
" bad boring bother crap disaster great love poor sorry why ", N
" favorite terrible worst ", N
" cheap superb ", N
" boring sorry supposed today well why ", N
" horrible ", N
" bad plot ", N
" awful horrible nothing well worst ", N
" awful minutes plot script worst ", N
" bad script ", N
" bad decent lame nothing plot supposed ", N
" awful boring minutes poor sorry terrible why ", N
" couldnt embarrassed ", N
" laughable minutes script wooden ", N
" plot terrible ", N
" awful couldnt horrible plot sorry trash ", N
" avoid crap poor ", N
" bad ", N
" avoid fantastic nothing poor rubbish supposed why worst ", N
" beautiful bother crap fails lame pathetic plot pointless ", N
" horrible ridiculous script well ", N
" avoid bad pointless terrible waste worse ", N
" bad beautiful couldnt different nothing ", N
" couldnt nothing poor ridiculous worse ", N
" annoying cheap ", N
" bad couldnt decent none nothing ", N
" awful crap horrible minutes nothing plot redeeming sorry stupid why worst ", N
