@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" not like even up really bad people dont them way any characters watch two did your ", N
" not much well also into most too plot ", N
" not up made them make too little ", N
" not like very great dont make think love little ", N
" not no well first many your still ", N
" like very even people dont any characters think never where did little best know ", N
" not like no well them make could acting where plot best know ever still ", N
" not like more very even up much well get great into because people then movies made them make way after think many seen never where did little know show ever does your better these say end ", N
" not like good really much dont way watch being better ", N
" like much great into people dont made know show ", N
" like even no up into people most make characters many character where little off these end ", N
" not like no into most dont them characters character acting where show ever your still ", N
" not like good more even up get because characters being show your say end ", N
" not like well also dont made make could too think seen never love acting where show ", N
" not no people them think watch two these over ", N
" not like very no too show ", N
" not like even no really much bad because dont too think two show ", N
" bad dont them two best say ", N
" not like good very no up much great also bad people most first could after character acting where show your off say ", N
" not like good up really much because first then way characters watch being acting little show better say ", N
" more up because them make two show ", N
" not like very even no up much get into then them any where plot know show ever does off still ", N
" like good even up really much well get great also people dont movies them make any too characters being two character never where little know show life does your better off still over say ", N
" like good really well also bad make after two best over ", N
" not good very even bad because people dont movies think watch seen acting plot ever off ", N
" not like good more up really much well great also into bad because people first dont made them make could any too watch many being where did little know life does better these say ", N
" not like good no bad because people most dont made way characters watch your these ", N
" not like even dont them could think seen did plot ever ", N
" not even no up dont make any after think acting plot your say ", N
" not good even really much great bad dont movies them way any characters watch better ", N
" like more even get dont could think watch life ", N
" not like good even bad because people dont movies them make any characters think watch many seen ever ", N
" not like good very bad because most dont then movies made could too show life better ", N
" not like good very really much get first then movies them watch many being two never where plot know your over ", N
" like good very even no really well great into bad most first movies them characters watch seen being never love life ever still say ", N
" good very even really dont made them many life better ", N
" not good more very even no really much get into bad because most dont could where little off end ", N
" good really because first watch little best better off ", N
" not like good more up really much well get also people most first dont then movies them too think many being acting did little best better off say ", N
" not like very even no much great because first movies way any after many never love acting best better say ", N
" not more very no much could being two life better still ", N
" like more no much get dont little does ", N
" not like more bad way any many little over ", N
" more up really much bad because first make way too characters many two plot best better over ", N
" too two ", N
" not like good more even no up really much get into people most first dont could way any too after characters many being never where did plot little does ", N
" not dont any being ", N
" not no much movies characters plot your better ", N
" not more even up really get great also into first any many did plot little best know does over say end ", N
" not like more even up much bad because most dont then movies made them make could any too two acting plot does your ", N
" like much any too characters many seen plot little your better off say ", N
" not like very no into bad people movies made make watch acting did know your over ", N
" like more even up really into bad because most dont many acting off these ", N
" like much because too watch seen never ", N
" not like more very even no up really get also bad because people made them way any too after characters seen being two never acting where did plot little better off these over say ", N
" more very up after characters acting where say ", N
" not much great also bad people dont made make characters think watch seen character never did better still over ", N
" even up bad people most dont then them any after characters acting off ", N
" like great bad plot ", N
" not very get people dont movies made make could any seen love ever over ", N
" not like even no up get great also because first dont then could after think watch love did plot does better ", N
" not like good more very even up great also people most then movies made could way after characters think watch many seen never acting where plot ever better off ", N
" not like get then watch did your ", N
" not good very no up well movies make could watch seen two never plot know these end ", N
" not like good more very even no really much well get into because dont then movies made too watch many where know your off ", N
" not more very made them could any never acting little know ", N
" not like no really also people could being acting little your ", N
" very great could way any two life better say ", N
" not even well them make too show these ", N
" like good no first made plot ", N
" not like more very really get into bad dont too think never little know show your over ", N
" no really great make show ", N
" not like good more no really get bad people first made make characters ever your ", N
" not still ", N
" not like good more very even up really much great also bad because then made make could any after watch many being did plot best ever still say end ", N
" not like into little better ", N
" like more even much get because people any after two best ", N
" not like even no really well way think character did know still say ", N
" like more even well bad movies made make any watch two best better off say ", N
" like good more even well most first movies make watch plot still these ", N
" not like very really well get make way think little your over ", N
" not like good more no up well get into because people most first then movies them way seen being never love where did plot show your off still over end ", N
" not like even great could way little know show does better ", N
" not like very even up get into bad first dont then movies made make characters watch being acting where plot life ever off ", N
" not bad acting ", N
" like up because first them make after being two acting off end ", N
" more even into acting little life ", N
" not like people then after characters seen does say ", N
" not like more no much well because most then made make could any think watch little know life does your better still over say ", N
" not like good more very even no up much get great into people first dont then movies them make could many being two where life does your better these say ", N
" not like more very even no really because people dont movies characters plot life ever over end ", N
" not no most movies make way any love did best know life does your ", N
" not like good more even no up much well get bad people way seen acting little ", N
" first then two little over ", N
" not like good more even up much get into most first dont then made make think watch seen did ever does your ", N
" not like good more very no up really get great also into most dont movies made them way any after think watch many seen being never where plot ever your off these over end ", N
" not good more even really well get great also into bad people most movies them make could any too after watch many being never love did know life off ", N
" good much could way did ", N
" no most seen show life ever still ", N
" not very after character where ", N
" like even up into most them too many seen character life ", N
" like no because life still ", N
" not even well great because made make could any did ever better ", N
" more first could plot life still ", N
" like good more very even up really much get great also because people most dont then movies made them make could way any too after watch being two little know show life over ", N
" not up also into bad characters two character does ", N
" not like good really well characters think best ", N
" not very up much people dont think two acting plot ", N
" like even up also because after characters never acting where plot your ", N
" not like no get into bad made think character acting your still ", N
" not like good into people does ", N
" not more up well great bad then characters seen did ever ", N
" not no much into could many off over ", N
" not up also people make ", N
" no really into first being acting ", N
" not up bad movies made make could any seen never acting ever better over ", N
" more even after life better still ", N
" like good well get great most movies could seen plot little life does say end ", N
" like movies could too ", N
" good even bad movies way seen love where ever does ", N
" not like even really bad people dont then movies any characters did plot know your still ", N
" not like even no up get great because made could any think watch seen never where best know show ever ", N
" not like good very up really much into bad first then could way too think many acting little show your these ", N
" not good more very no up really bad first dont then any too after characters character acting where ever ", N
" like more even no up really get also into people dont then movies too characters being character where plot show your end ", N
" not like good no up really much well get into people dont them think seen two little your these ", N
" not like more up really get into bad make watch seen never acting where did better ", N
" good even up people most dont could way after watch seen acting did know your better still end ", N
" not good even up much get bad dont movies them make think watch many two love know your better still these ", N
" not get great also after many seen two never love your these say ", N
" into bad then made too after never where did still these ", N
" more even get into made think being know better still ", N
" like get way think being two acting know off these ", N
" like no into movies any watch acting plot ever better ", N
" not like more much great into dont then made them make way any too watch ever does ", N
" very even up really much also bad most dont movies could too after did these end ", N
" like good very no much also bad because then too think many seen being best know show end ", N
" like even really great into because people dont then being never best ", N
" not like much well people made any think plot say ", N
" good very up really much well into bad most made too after characters many being plot best better off these over end ", N
" bad did ", N
" like more up well get into bad made think character acting did better ", N
" like good even no really because dont movies make know ", N
" like more up get people first made them any too characters think watch seen character never show better off still these say ", N
" not like more even no up well get great bad people first dont then movies could think being acting best know better these ", N
" like good more much get into dont made could too watch seen acting did best show better these ", N
" not more very no much well get could way after watch seen acting ever better still ", N
" not most made make characters seen where ever ", N
" not like more very even no up really much well get also bad first dont then them way any characters think watch many seen being two where did plot little know ever better over say end ", N
" not good even no up much get great into people then could way characters watch being plot your over say ", N
" not like most any characters seen being where ever ", N
" like more up really bad dont any seen two never acting know say ", N
" not more very even really also because people them could way any think never love did know these over say ", N
" not more very no well also characters character where little over ", N
" not like more no also made any watch many character love acting did little does these ", N
" not more even them way characters watch many character does end ", N
" not more even no up into first dont made make could any characters think watch character where does better ", N
" like very into most after two little ", N
" not even them make way any after characters many where did say ", N
" not more even up also into people first then many being character where little still ", N
" up also bad first after two best over ", N
" like good well get bad people then made too seen acting ever off end ", N
" very up really get into bad dont movies them could after your ", N
" not like good bad because people dont movies make think watch seen acting where plot these ", N
" not like very even really much get into dont then make many being ", N
" like more very no really bad people most then characters think two your ", N
" like up well made them could seen never did best better over ", N
" like good really much get great bad could many two where best these say ", N
" not like good more very even up really much well bad because most make could too never acting where ", N
" not good more very really great bad made could way characters know does better ", N
" like even get bad people after your off ", N
" like well people any acting plot your over ", N
" like even no well bad people then movies could love where plot ", N
" not even no well get made way seen ", N
" like bad plot better over ", N
" not like good more very no really bad because most dont made make could way any too characters watch never acting best know ever your better say end ", N
" very even no get bad first movies make way seen acting plot off over ", N
" not like very no much also people most then movies think seen being two acting ever your over ", N
